id,title,description,location,salary,publication_date,expiration_date,recruiter_id,created_at,updated_at
"202","Ingénieur PHP Laravel","Nous recherchons un ingénieur PHP avec une expertise sur Laravel, HTML, CSS, et JavaScript pour travailler sur des projets web interactifs.","Nice, France","3900 EUR","2025-04-01","2025-06-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"203","Expert Java Spring Boot","Nous recherchons un expert Java maîtrisant Spring Boot, Hibernate, et les API RESTful. Expérience avec les bases de données relationnelles requise.","Bordeaux, France","4000 EUR","2025-04-01","2025-04-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"204","Administrateur Base de Données SQL","Nous recherchons un administrateur maîtrisant SQL, PostgreSQL, et la gestion des bases de données relationnelles.","Paris, France","3800 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"205","Développeur Python Django","Nous recherchons un développeur Python avec une expertise en Django, HTML, CSS, et JavaScript pour construire des applications web robustes.","Lyon, France","4200 EUR","2025-04-01","2025-04-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"206","Expert C# .NET","Nous cherchons un expert C# avec une expertise en .NET, SQL Server, et les bonnes pratiques de développement orienté objet.","Paris, France","4300 EUR","2025-04-01","2025-06-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"207","Data Scientist Python","Nous recherchons un Data Scientist maîtrisant Python, Pandas, NumPy, Scikit-learn, et la modélisation statistique pour analyser des données et créer des modèles prédictifs.","Paris, France","4500 EUR","2025-04-01","2025-05-31",11,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"208","Ingénieur DevOps Kubernetes","Nous cherchons un ingénieur DevOps maîtrisant Kubernetes, Docker, Jenkins, et les pratiques CI/CD pour automatiser les processus de déploiement et amélioinfrastructure cloud.","Lyon, France","4700 EUR","2025-04-01","2025-04-30",12,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"209","Spécialiste Cloud AWS","Nous recherchons un spécialiste des solutions cloud avec une expertise en AWS, S3, EC2, Lambda et RDS pour optimiser architecture cloud et la gestion des données.","Marseille, France","4800 EUR","2025-04-01","2025-06-30",13,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"210","Consultant en Sécurité Informatique","Nous cherchons un consultant spécialisé en cybersécurité pour analyser les risques, implémenter des solutions de sécurité, et former nos équipes sur les meilleures pratiques en matière de sécurité informatique.","Toulouse, France","5000 EUR","2025-04-01","2025-05-31",14,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"211","Ingénieur en Réseaux et Télécommunications","Nous recherchons un ingénieur en réseaux et télécommunications pour gérer infrastructure réseau, assurer la maintenance et la sécurité des communications.","Lille, France","4300 EUR","2025-04-01","2025-04-30",11,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"212","Expert en Intelligence Artificielle","Nous recherchons un expert en IA avec des compétences en apprentissage automatique, traitement du langage naturel, et TensorFlow pour développer des solutions innovantes basées sur IA.","Paris, France","5100 EUR","2025-04-01","2025-05-31",13,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"213","Développeur Blockchain","Nous recherchons un développeur ayant une expertise en Blockchain, Smart Contracts, Ethereum, et Solidity pour développer des solutions décentralisées.","Nice, France","5200 EUR","2025-04-01","2025-06-30",12,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"214","Analyste en Business Intelligence","Nous cherchons un analyste BI avec une expertise en SQL, Tableau, Power BI, et analyse de données pour générer des rapports et fournir des insights stratégiques.","Bordeaux, France","4600 EUR","2025-04-01","2025-05-31",11,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"215","Développeur Swift iOS","Nous recherchons un développeur maîtrisant Swift et Xcode pour créer des applications mobiles iOS performantes et intuitives.","Lyon, France","4400 EUR","2025-04-01","2025-04-30",9,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
"216","Consultant ERP SAP","Nous recherchons un consultant ERP SAP avec des compétences en gestion des processus affaires, SAP HANA et SAP S/4HANA pour implémentation et la gestion des solutions ERP.","Paris, France","4900 EUR","2025-04-01","2025-06-30",10,"Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)","Wed Apr 02 2025 18:01:20 GMT+0000 (UTC)"
